0~red~forward 1~+0~!128997 0 !128997~CAACAgQAAxkBAAEBtcplQUru19L-rWGOD4ytMXgEzgwsRwACDgAD1XH9MTkoTHPl4e4ZMwQ~0
1~red~forward 1~+0~!128997 1 !128997~CAACAgQAAxkBAAEBtcxlQUsKzeL9stbdG0jFulqKBAMtJQACEgAD1XH9MddC5zWtm93FMwQ~1
1~red~forward 1~+0~!128997 1 !128997~CAACAgQAAxkBAAEBtcxlQUsKzeL9stbdG0jFulqKBAMtJQACEgAD1XH9MddC5zWtm93FMwQ~1
2~red~forward 1~+0~!128997 2 !128997~CAACAgQAAxkBAAEBtc5lQUsZqjVqu_DEauwDeUMHDEd2-wACFgAD1XH9MSsmKX02ghx9MwQ~2
2~red~forward 1~+0~!128997 2 !128997~CAACAgQAAxkBAAEBtc5lQUsZqjVqu_DEauwDeUMHDEd2-wACFgAD1XH9MSsmKX02ghx9MwQ~2
3~red~forward 1~+0~!128997 3 !128997~CAACAgQAAxkBAAEBtdZlQUuWZmKamt_6HI01-AqJ60HZWAACGgAD1XH9Ma5Fbu8WPhBtMwQ~3
3~red~forward 1~+0~!128997 3 !128997~CAACAgQAAxkBAAEBtdZlQUuWZmKamt_6HI01-AqJ60HZWAACGgAD1XH9Ma5Fbu8WPhBtMwQ~3
4~red~forward 1~+0~!128997 4 !128997~CAACAgQAAxkBAAEBtdhlQUudtX6nQ0wpqhsjdYbz3lnjqwACHgAD1XH9MdZvARVExLVWMwQ~4
4~red~forward 1~+0~!128997 4 !128997~CAACAgQAAxkBAAEBtdhlQUudtX6nQ0wpqhsjdYbz3lnjqwACHgAD1XH9MdZvARVExLVWMwQ~4
5~red~forward 1~+0~!128997 5 !128997~CAACAgQAAxkBAAEBtdxlQUunDbjnfnvQqlqQD0XB0mKEcAACIgAD1XH9MY6anW3L7o1EMwQ~5
5~red~forward 1~+0~!128997 5 !128997~CAACAgQAAxkBAAEBtdxlQUunDbjnfnvQqlqQD0XB0mKEcAACIgAD1XH9MY6anW3L7o1EMwQ~5
6~red~forward 1~+0~!128997 6 !128997~CAACAgQAAxkBAAEBteJlQUuvTRfATOGN4iQ8trrLO5Uh1wACJgAD1XH9MUFIAAG0tcxH0zME~6
6~red~forward 1~+0~!128997 6 !128997~CAACAgQAAxkBAAEBteJlQUuvTRfATOGN4iQ8trrLO5Uh1wACJgAD1XH9MUFIAAG0tcxH0zME~6
7~red~forward 1~+0~!128997 7 !128997~CAACAgQAAxkBAAEBteRlQUu2eYVqxWxZYWmyKqUgA3YoCQACKgAD1XH9MQmh8w4HWwrwMwQ~7
7~red~forward 1~+0~!128997 7 !128997~CAACAgQAAxkBAAEBteRlQUu2eYVqxWxZYWmyKqUgA3YoCQACKgAD1XH9MQmh8w4HWwrwMwQ~7
8~red~forward 1~+0~!128997 8 !128997~CAACAgQAAxkBAAEBteZlQUu7QQUortbCrQz8XkPmw_ERuAACLgAD1XH9Ma-U5YlpsVS6MwQ~8
8~red~forward 1~+0~!128997 8 !128997~CAACAgQAAxkBAAEBteZlQUu7QQUortbCrQz8XkPmw_ERuAACLgAD1XH9Ma-U5YlpsVS6MwQ~8
9~red~forward 1~+0~!128997 9 !128997~CAACAgQAAxkBAAEBteplQUvDeiKPxF5ma9SQHCd8WlihhwACMgAD1XH9MUeArT3AREsZMwQ~9
9~red~forward 1~+0~!128997 9 !128997~CAACAgQAAxkBAAEBteplQUvDeiKPxF5ma9SQHCd8WlihhwACMgAD1XH9MUeArT3AREsZMwQ~9
0~green~forward 1~+0~!129001 0 !129001~CAACAgQAAxkBAAEBtexlQUvLJdrRFCMGoshKe1AFFwvLhQACDQAD1XH9MfFINHGq9R6-MwQ~0
1~green~forward 1~+0~!129001 1 !129001~CAACAgQAAxkBAAEBte5lQUvQ-h9_Kn-FYAHVBjnOWLAp0QACEQAD1XH9MTzfOn5i3L0MMwQ~1
1~green~forward 1~+0~!129001 1 !129001~CAACAgQAAxkBAAEBte5lQUvQ-h9_Kn-FYAHVBjnOWLAp0QACEQAD1XH9MTzfOn5i3L0MMwQ~1
2~green~forward 1~+0~!129001 2 !129001~CAACAgQAAxkBAAEBtfJlQUvXJTpdBFiQ254-R1xCTtdJfwACFQAD1XH9MSZBWhwJ106WMwQ~2
2~green~forward 1~+0~!129001 2 !129001~CAACAgQAAxkBAAEBtfJlQUvXJTpdBFiQ254-R1xCTtdJfwACFQAD1XH9MSZBWhwJ106WMwQ~2
3~green~forward 1~+0~!129001 3 !129001~CAACAgQAAxkBAAEBtfRlQUvdad026QU9RiD2aPluBfjFsgACGQAD1XH9MfQQa4Wrf2NJMwQ~3
3~green~forward 1~+0~!129001 3 !129001~CAACAgQAAxkBAAEBtfRlQUvdad026QU9RiD2aPluBfjFsgACGQAD1XH9MfQQa4Wrf2NJMwQ~3
4~green~forward 1~+0~!129001 4 !129001~CAACAgQAAxkBAAEBtfZlQUvmdoYD7S5POi67CAdCCrvhIQACHQAD1XH9Me5qB5xJOcexMwQ~4
